ROUTE,DAY,DELAY
ATL-FCA,WED,0
ATL-FCA,SAT,69
ATL-FLL,SUN,7894
ATL-FLL,MON,9209
ATL-FLL,TUE,9227
ATL-FLL,WED,10438
ATL-FLL,THU,13833
ATL-FLL,FRI,10332
ATL-FLL,SAT,9330
ATL-FNT,SUN,935
ATL-FNT,MON,1420
ATL-FNT,TUE,1103
ATL-FNT,WED,1171
ATL-FNT,THU,1305
ATL-FNT,FRI,960
ATL-FNT,SAT,1439
ATL-FSD,SUN,754
ATL-FSD,MON,1313
ATL-FSD,TUE,809
ATL-FSD,WED,1203
ATL-FSD,THU,663
ATL-FSD,FRI,636
ATL-FSD,SAT,375
ATL-FSM,SUN,1340
ATL-FSM,MON,2150
ATL-FSM,TUE,1149
ATL-FSM,WED,1614
ATL-FSM,THU,1242
ATL-FSM,FRI,777
ATL-FSM,SAT,963
ATL-FWA,SUN,1075
ATL-FWA,MON,2993
ATL-FWA,TUE,3070
ATL-FWA,WED,2352
ATL-FWA,THU,2679
ATL-FWA,FRI,1893
ATL-FWA,SAT,1106
ATL-GJT,FRI,0
ATL-GNV,SUN,3796
ATL-GNV,MON,3702
ATL-GNV,TUE,3696
ATL-GNV,WED,3634
ATL-GNV,THU,4234
ATL-GNV,FRI,3150
ATL-GNV,SAT,1256
ATL-GPT,SUN,1102
ATL-GPT,MON,1125
ATL-GPT,TUE,1544
ATL-GPT,WED,1570
ATL-GPT,THU,1665
ATL-GPT,FRI,1023
ATL-GPT,SAT,1085
ATL-GRB,SUN,1450
ATL-GRB,MON,643
ATL-GRB,TUE,846
ATL-GRB,WED,1023
ATL-GRB,THU,997
ATL-GRB,FRI,1068
ATL-GRB,SAT,650
ATL-GRK,SUN,1354
ATL-GRK,MON,1465
ATL-GRK,TUE,1365
ATL-GRK,WED,1208
ATL-GRK,THU,1961
ATL-GRK,FRI,1257
ATL-GRK,SAT,642
ATL-GRR,SUN,887
ATL-GRR,MON,988
ATL-GRR,TUE,1543
ATL-GRR,WED,1210
ATL-GRR,THU,1195
ATL-GRR,FRI,1200
ATL-GRR,SAT,871
ATL-GSO,SUN,3142
ATL-GSO,MON,5538
ATL-GSO,TUE,3888
ATL-GSO,WED,3951
ATL-GSO,THU,4581
ATL-GSO,FRI,4571
ATL-GSO,SAT,1220
ATL-GSP,SUN,2456
ATL-GSP,MON,4020
ATL-GSP,TUE,3337
ATL-GSP,WED,3230
ATL-GSP,THU,3741
ATL-GSP,FRI,3061
ATL-GSP,SAT,1867
ATL-GTR,SUN,1485
ATL-GTR,MON,1920
ATL-GTR,TUE,1539
ATL-GTR,WED,1942
ATL-GTR,THU,1363
ATL-GTR,FRI,814
ATL-GTR,SAT,375
ATL-HDN,SUN,35
ATL-HDN,MON,73
ATL-HDN,TUE,136
ATL-HDN,WED,120
ATL-HDN,THU,326
ATL-HDN,FRI,253
ATL-HDN,SAT,96
ATL-HNL,SUN,550
ATL-HNL,MON,875
ATL-HNL,TUE,504
ATL-HNL,WED,487
ATL-HNL,THU,315
ATL-HNL,FRI,657
ATL-HNL,SAT,349
ATL-HOU,SUN,4265
ATL-HOU,MON,5904
ATL-HOU,TUE,7787
ATL-HOU,WED,4642
ATL-HOU,THU,7962
ATL-HOU,FRI,4560
ATL-HOU,SAT,4357
ATL-HPN,SUN,4185
ATL-HPN,MON,4828
ATL-HPN,TUE,3763
ATL-HPN,WED,4598
ATL-HPN,THU,5661
ATL-HPN,FRI,3663
ATL-HPN,SAT,1289
ATL-HSV,SUN,2650
ATL-HSV,MON,4102
ATL-HSV,TUE,3895
ATL-HSV,WED,3387
ATL-HSV,THU,3381
ATL-HSV,FRI,2485
ATL-HSV,SAT,1436
ATL-IAD,SUN,3063
ATL-IAD,MON,4061
ATL-IAD,TUE,4638
ATL-IAD,WED,3563
ATL-IAD,THU,5240
ATL-IAD,FRI,3343
ATL-IAD,SAT,1210
ATL-IAH,SUN,6474
ATL-IAH,MON,7596
ATL-IAH,TUE,8496
ATL-IAH,WED,9297
ATL-IAH,THU,7994
ATL-IAH,FRI,6082
ATL-IAH,SAT,3878
ATL-ICT,SUN,602
ATL-ICT,MON,789
ATL-ICT,TUE,771
ATL-ICT,WED,927
ATL-ICT,THU,1574
ATL-ICT,FRI,1235
ATL-ICT,SAT,1004
ATL-ILM,SUN,1358
ATL-ILM,MON,2524
ATL-ILM,TUE,2455
ATL-ILM,WED,1385
ATL-ILM,THU,3059
ATL-ILM,FRI,1426
ATL-ILM,SAT,1266
ATL-IND,SUN,4502
ATL-IND,MON,5889
ATL-IND,TUE,4780
ATL-IND,WED,6048
ATL-IND,THU,5823
ATL-IND,FRI,4661
ATL-IND,SAT,2549
ATL-JAC,SUN,0
ATL-JAC,MON,0
ATL-JAC,TUE,158
ATL-JAC,WED,0
ATL-JAC,THU,75
ATL-JAC,FRI,0
ATL-JAC,SAT,102
ATL-JAN,SUN,2282
ATL-JAN,MON,2296
ATL-JAN,TUE,3000
ATL-JAN,WED,3424
ATL-JAN,THU,2421
ATL-JAN,FRI,2127
ATL-JAN,SAT,1336
ATL-JAX,SUN,5354
ATL-JAX,MON,5229
ATL-JAX,TUE,5754
ATL-JAX,WED,7430
ATL-JAX,THU,8866
ATL-JAX,FRI,6047
ATL-JAX,SAT,2654
ATL-JFK,SUN,3806
ATL-JFK,MON,5169
ATL-JFK,TUE,4903
ATL-JFK,WED,4784
ATL-JFK,THU,5827
ATL-JFK,FRI,3673
ATL-JFK,SAT,3192
ATL-LAN,SUN,15
ATL-LAN,THU,0
ATL-LAN,FRI,0
ATL-LAN,SAT,158
ATL-LAS,SUN,5262
ATL-LAS,MON,6477
ATL-LAS,TUE,6137
ATL-LAS,WED,7506
ATL-LAS,THU,9593
ATL-LAS,FRI,5555
ATL-LAS,SAT,5111
ATL-LAX,SUN,6187
ATL-LAX,MON,7656
ATL-LAX,TUE,6122
ATL-LAX,WED,9251
ATL-LAX,THU,9655
ATL-LAX,FRI,7602
ATL-LAX,SAT,5621
ATL-LEX,SUN,2239
ATL-LEX,MON,3978
ATL-LEX,TUE,2858
ATL-LEX,WED,2004
ATL-LEX,THU,3204
ATL-LEX,FRI,3794
ATL-LEX,SAT,1114
ATL-LFT,SUN,2266
ATL-LFT,MON,1665
ATL-LFT,TUE,2250
ATL-LFT,WED,1267
ATL-LFT,THU,1488
ATL-LFT,FRI,1187
ATL-LFT,SAT,692
ATL-LGA,SUN,13004
ATL-LGA,MON,20817
ATL-LGA,TUE,23451
ATL-LGA,WED,18503
ATL-LGA,THU,20754
ATL-LGA,FRI,17027
ATL-LGA,SAT,8209
ATL-LIT,SUN,1360
ATL-LIT,MON,2337
ATL-LIT,TUE,2054
ATL-LIT,WED,3029
ATL-LIT,THU,2477
ATL-LIT,FRI,1378
ATL-LIT,SAT,657
ATL-LNK,SUN,669
ATL-LNK,MON,896
ATL-LNK,TUE,504
ATL-LNK,WED,826
ATL-LNK,THU,744
ATL-LNK,FRI,534
ATL-LNK,SAT,750
ATL-MBS,SUN,140
ATL-MBS,THU,0
ATL-MBS,FRI,0
ATL-MBS,SAT,160
ATL-MCI,SUN,2488
ATL-MCI,MON,4463
ATL-MCI,TUE,5409
ATL-MCI,WED,4866
ATL-MCI,THU,5374
ATL-MCI,FRI,4045
ATL-MCI,SAT,2648
ATL-MCO,SUN,8783
ATL-MCO,MON,9671
ATL-MCO,TUE,10296
ATL-MCO,WED,12645
ATL-MCO,THU,15922
ATL-MCO,FRI,12194
ATL-MCO,SAT,10744
ATL-MDT,SUN,569
ATL-MDT,MON,1248
ATL-MDT,TUE,915
ATL-MDT,WED,1504
ATL-MDT,THU,1254
ATL-MDT,FRI,584
ATL-MDT,SAT,1185
ATL-MDW,SUN,4666
ATL-MDW,MON,8510
ATL-MDW,TUE,7742
ATL-MDW,WED,6733
ATL-MDW,THU,6216
ATL-MDW,FRI,5395
ATL-MDW,SAT,4523
ATL-MEM,SUN,1897
ATL-MEM,MON,3766
ATL-MEM,TUE,3284
ATL-MEM,WED,5487
ATL-MEM,THU,5134
ATL-MEM,FRI,2960
ATL-MEM,SAT,1044
ATL-MGM,SUN,3489
ATL-MGM,MON,4910
ATL-MGM,TUE,3444
ATL-MGM,WED,3416
ATL-MGM,THU,4588
ATL-MGM,FRI,3352
ATL-MGM,SAT,1431
ATL-MHT,SUN,142
ATL-MHT,MON,534
ATL-MHT,TUE,547
ATL-MHT,WED,498
ATL-MHT,THU,497
ATL-MHT,FRI,502
ATL-MHT,SAT,142
ATL-MIA,SUN,4266
ATL-MIA,MON,4817
ATL-MIA,TUE,5834
ATL-MIA,WED,6616
ATL-MIA,THU,7827
ATL-MIA,FRI,5793
ATL-MIA,SAT,4190
ATL-MKE,SUN,2338
ATL-MKE,MON,4045
ATL-MKE,TUE,4507
ATL-MKE,WED,3851
ATL-MKE,THU,4014
ATL-MKE,FRI,2829
ATL-MKE,SAT,1921
ATL-MLB,SUN,1257
ATL-MLB,MON,1615
ATL-MLB,TUE,1977
ATL-MLB,WED,1674
ATL-MLB,THU,1972
ATL-MLB,FRI,1541
ATL-MLB,SAT,572
ATL-MLI,SUN,1642
ATL-MLI,MON,2135
ATL-MLI,TUE,1986
ATL-MLI,WED,1986
ATL-MLI,THU,1817
ATL-MLI,FRI,1600
ATL-MLI,SAT,1082
ATL-MLU,SUN,1886
ATL-MLU,MON,2612
ATL-MLU,TUE,2623
ATL-MLU,WED,2386
ATL-MLU,THU,2248
ATL-MLU,FRI,1242
ATL-MLU,SAT,428
ATL-MOB,SUN,2455
ATL-MOB,MON,5739
ATL-MOB,TUE,3674
ATL-MOB,WED,3914
ATL-MOB,THU,4026
ATL-MOB,FRI,3412
ATL-MOB,SAT,1175
ATL-MSN,SUN,709
ATL-MSN,MON,961
ATL-MSN,TUE,1194
ATL-MSN,WED,958
ATL-MSN,THU,1681
ATL-MSN,FRI,867
ATL-MSN,SAT,613
ATL-MSO,SUN,0
ATL-MSO,SAT,467
ATL-MSP,SUN,4114
ATL-MSP,MON,5613
ATL-MSP,TUE,5872
ATL-MSP,WED,4881
ATL-MSP,THU,5168
ATL-MSP,FRI,5342
ATL-MSP,SAT,3505
ATL-MSY,SUN,3969
ATL-MSY,MON,7160
ATL-MSY,TUE,6192
ATL-MSY,WED,6807
ATL-MSY,THU,8834
ATL-MSY,FRI,6619
ATL-MSY,SAT,3631
ATL-MTJ,SUN,0
ATL-MTJ,MON,0
ATL-MTJ,TUE,0
ATL-MTJ,WED,117
ATL-MTJ,THU,260
ATL-MTJ,FRI,0
ATL-MTJ,SAT,118
ATL-MYR,SUN,1939
ATL-MYR,MON,2641
ATL-MYR,TUE,1841
ATL-MYR,WED,1848
ATL-MYR,THU,2234
ATL-MYR,FRI,1606
ATL-MYR,SAT,1253
ATL-OAJ,SUN,1788
ATL-OAJ,MON,2840
ATL-OAJ,TUE,1802
ATL-OAJ,WED,1609
ATL-OAJ,THU,2400
ATL-OAJ,FRI,2554
ATL-OAJ,SAT,929
ATL-OAK,SUN,23
ATL-OAK,MON,0
ATL-OAK,TUE,0
ATL-OAK,WED,0
ATL-OAK,THU,205
ATL-OAK,FRI,0
ATL-OAK,SAT,118
ATL-OKC,SUN,1912
ATL-OKC,MON,1881
ATL-OKC,TUE,2645
ATL-OKC,WED,2853
ATL-OKC,THU,2857
ATL-OKC,FRI,1831
ATL-OKC,SAT,1441
ATL-OMA,SUN,1147
ATL-OMA,MON,1088
ATL-OMA,TUE,2360
ATL-OMA,WED,2159
ATL-OMA,THU,1803
ATL-OMA,FRI,1213
ATL-OMA,SAT,1250
ATL-ONT,SUN,0
ATL-ONT,FRI,0
ATL-ONT,SAT,0
ATL-ORF,SUN,2907
ATL-ORF,MON,2831
ATL-ORF,TUE,4583
ATL-ORF,WED,2746
ATL-ORF,THU,3066
ATL-ORF,FRI,2962
ATL-ORF,SAT,797
ATL-PBI,SUN,4286
ATL-PBI,MON,4187
ATL-PBI,TUE,4569
ATL-PBI,WED,5752
ATL-PBI,THU,8354
ATL-PBI,FRI,5361
ATL-PBI,SAT,2956
ATL-PDX,SUN,874
ATL-PDX,MON,819
ATL-PDX,TUE,1378
ATL-PDX,WED,1250
ATL-PDX,THU,1232
ATL-PDX,FRI,812
ATL-PDX,SAT,461
ATL-PHF,SUN,2523
ATL-PHF,MON,2367
ATL-PHF,TUE,1992
ATL-PHF,WED,1679
ATL-PHF,THU,2101
ATL-PHF,FRI,2274
ATL-PHF,SAT,1078
ATL-PHL,SUN,7679
ATL-PHL,MON,12021
ATL-PHL,TUE,18662
ATL-PHL,WED,13427
ATL-PHL,THU,15429
ATL-PHL,FRI,10503
ATL-PHL,SAT,5907
ATL-PHX,SUN,2594
ATL-PHX,MON,2834
ATL-PHX,TUE,3287
ATL-PHX,WED,3898
ATL-PHX,THU,5693
ATL-PHX,FRI,2575
ATL-PHX,SAT,2659
ATL-PIA,SUN,1047
ATL-PIA,MON,1790
ATL-PIA,TUE,1299
ATL-PIA,WED,963
ATL-PIA,THU,864
ATL-PIA,FRI,1085
ATL-PIA,SAT,469
ATL-PIT,SUN,2645
ATL-PIT,MON,4764
ATL-PIT,TUE,4134
ATL-PIT,WED,3654
ATL-PIT,THU,4674
ATL-PIT,FRI,2978
ATL-PIT,SAT,2381
ATL-PNS,SUN,1489
ATL-PNS,MON,2986
ATL-PNS,TUE,3714
ATL-PNS,WED,2851
ATL-PNS,THU,3213
ATL-PNS,FRI,2344
ATL-PNS,SAT,1387
ATL-PVD,SUN,892
ATL-PVD,MON,969
ATL-PVD,TUE,1145
ATL-PVD,WED,1174
ATL-PVD,THU,923
ATL-PVD,FRI,535
ATL-PVD,SAT,317
ATL-PWM,SUN,759
ATL-PWM,MON,1430
ATL-PWM,TUE,1169
ATL-PWM,WED,508
ATL-PWM,THU,909
ATL-PWM,FRI,743
ATL-PWM,SAT,218
ATL-RAP,THU,0
ATL-RAP,FRI,0
ATL-RAP,SAT,138
ATL-RDU,SUN,3623
ATL-RDU,MON,4668
ATL-RDU,TUE,5856
ATL-RDU,WED,6015
ATL-RDU,THU,7153
ATL-RDU,FRI,3766
ATL-RDU,SAT,3210
ATL-RIC,SUN,2583
ATL-RIC,MON,4028
ATL-RIC,TUE,4359
ATL-RIC,WED,5416
ATL-RIC,THU,5744
ATL-RIC,FRI,3973
ATL-RIC,SAT,2451
ATL-ROA,SUN,3171
ATL-ROA,MON,2213
ATL-ROA,TUE,2687
ATL-ROA,WED,2176
ATL-ROA,THU,1255
ATL-ROA,FRI,2030
ATL-ROA,SAT,2034
ATL-ROC,SUN,945
ATL-ROC,MON,1338
ATL-ROC,TUE,880
ATL-ROC,WED,924
ATL-ROC,THU,1016
ATL-ROC,FRI,842
ATL-ROC,SAT,689
ATL-RST,SUN,415
ATL-RST,MON,452
ATL-RST,TUE,523
ATL-RST,WED,190
ATL-RST,THU,399
ATL-RST,FRI,456
ATL-RST,SAT,153
ATL-RSW,SUN,3266
ATL-RSW,MON,4252
ATL-RSW,TUE,4476
ATL-RSW,WED,5145
ATL-RSW,THU,5676
ATL-RSW,FRI,4170
ATL-RSW,SAT,3038
ATL-SAN,SUN,965
ATL-SAN,MON,1269
ATL-SAN,TUE,1834
ATL-SAN,WED,2510
ATL-SAN,THU,3131
